glacier_name, lat, lon, total_area 
45,39.1,68.02,0.9
36,42.55,85.2,0.18
,30.846,82.65,0.1
Quga,30.426,90.712,3.9
,30.188,85.625,0.13
,34.106,80.051,0.08
,61.253,-138.118, 
,39.277,73.676,1.35
,64.13,-51.28,0.11
INVERGNURES S,45.658,7.023,0.1
,36.117,72.259,1.47
,66.11,-49.96,0.13
,57.26,-128.392,0.1
,31.117,78.781,0.03
906A,43.4,41.15,0.4
,37.677,88.284,0.88
,60.01,-44.58,0.05
52,42.04,72.16,0.2
,30.302,83.924,0.2
7,39.43,97.77,0.26
,29.755,82.356,0.18
5,43.1,86.58,0.23
/NUVSFD,70.226,22.006,0.28
18A,62.7,140.77,0.1
,35.755,76.787,0.61
,29.323,83.423,0.09
,81.337,-93.05,0.1
,28.681,84.413,0.03
,39.281,73.654,1.82
661,38.22,73.78,0.1
,35.645,78.214,1.45
,34.795,80.652,0.48
,28.39,86.481,0.84
56,68.43,128.48,0.11
,69.7,-53.43,2.59
,-49.13,68.984,0.065
,70.13,-53.96,0.75
35,42.55,85.22,0.05
22,42.67,85.18,0.12
,-60.609,-45.99,4.963
,79.74,-93.458,24
,33.986,79.732,0.22
3,38.97,98.95,0.18
,-44.518,168.31,0.041
,-40.778,-71.271,0.007
,57.802,-132.281,0.37
10,44,83.45,1.63
36,42.37,70.78,0.5
138,36.85,71.83,4.8
,36.316,73.253,0.101
,35.313,72.318,0.29
,-33.215,-70.296,0.54
,30.236,86.602,0.36
Korumdu,50.121,87.7,5.2
,35.904,72.397,2.945
444,39.52,71.43,0.2
,31.05,78.527,0.13
505,37.37,74.22,0.1
,30.439,93.736,0.7
16,43.45,89.45,0.04
,57.605,-131.885,0.42
8,43.25,85.65,0.14
,71.248,-72.133,2.64
,27.881,92.459,0.33
Veronica,-13.163,-72.312,1.3
KHRUSTALNYJ,73.58,55.35,4.7
8,43.03,86.65,0.07
,57.518,-129.781,0.06
,80.085,-93.775,2.65
,29.854,93.078,0.61
3,41.08,78.22,0.38
106,39.82,73.02,0.2
,57.266,-129.719,0.04
,32.847,80.955,12.51
MELIPILUN E,-39.072,-71.29,0.007
,30.383,84.209,0.47
,36.19,82.407,1.1
PASURA,-12.929,-75.347,0.07
187,41.82,77.22,2.7
,29.996,84.911,1
69,43.9,84.23,1.58
/MALSEV,68.883,18.7,0.12
Lahuana,-14.232,-69.767,0.7
51,42.52,81.82,0.19
40,42.37,81.92,0.19
,-43.132,170.859,0.033
22,42.05,81.1,1.65
,28.842,90.216,2.7
,56.885,-130.6,0.16
17,43.42,84.65,0.45
,29.704,95.877,1.2
/BEIARE,66.989,14.503,0.04
,35.867,91.96,0.47
DOMUYO G2,-36.547,-70.457,0.102
,28.039,91.853,0.25
58,42.25,71.27,0.4
142,38.58,72.15,0.2
,60.665,-138.553, 
,46.783,10.68,0.24
665,37.42,71.93,0.7
,56.734,-130.76,0.16
,59.585,-136.395, 
,45.605,6.976,0.07
,57.279,-129.348,0.05
48,42.75,82.93,0.11
,66.01,-52.15,0.39
,66.3,-52.63,0.31
,-13.159,-72.231,0.21
159,39.87,72.23,0.2
,31.132,79.419,0.08
,46.147,7.53,0.49
ZOCCA S,46.285,9.647,0.09
,57.474,-129.257,0.08
,45.439,6.852,0.24
,57.558,-131.031,0.03
,29.985,99.62,0.23
,61.63,-47.9,0.85
,61.73,-48.4,0.5
,34.466,81.507,0.86
,35.447,82.079,44.3
CCARAMARCA 2,-10.325,-76.928,0.14
386,73.5,54.52,3.8
6,38.37,95.77,1.19
,32.961,79.707,0.15
,32.46,77.757,0.08
145,41.14,76.26,0.2
26,43.2,85.72,0.35
,33.27,91.211,0.31
67,38.67,71.8,0.1
,28.258,86.718,0.41
,31.124,81.449,0.4
35,43.1,86.28,0.67
,79.595,-92.483,0.08
8,44.8,80.33,0.17
,27.8,86.617,0.06
TROMEN M,-39.5,-71.212,0.01
,27.99,86.096,0.28
,-43.487,170.341,0.028
,-43.172,170.738,0.025
,28.069,87.611,5.61
,48.567,-121.15,0.31
,27.865,87.577,1.39
,30.099,96.186,0.2
30,44.72,80.65,0.75
,28,91.555,8.28
,28.385,84.998,0.13
,32.113,77.507,0.64
,60,-150.4,302
13,43.5,84.52,0.82
,69.46,-53.15,0.15
4,47.07,85.52,1.4
,30.656,94.435,0.9
57,42.17,71.02,0.4
,65.56,-52.45,0.24
/HALLNG,60.605,7.819,0.08
,57.596,-132.07,9.82
,31.487,83.481,1.2
68,42.31,74.91,0.2
/LYNGEN,69.858,20.319,0.79
357,39.27,71.05,2.9
,38.565,74.683,0.3
,36.213,82.282,1.07
,30.281,94.478,0.2
,27.799,88.157,0.31
No 299,49.572,86.747,0.2
85,45,79.92,2.5
56,42.21,70.61,0.2
,30.535,93.719,0.1
493,41.63,77.54,0.4
,29.424,83.404,0.1
,36.603,72.741,0.9
645,73.13,55.25,0.2
,71.431,-76.627,0.995
,33.512,95.746,0.32
204,61.82,171.48,0.4
,33.314,91.218,16.71
,35.758,77.085,0.97
LOUETTA N,45.619,7.102,0.1
,28.821,84.015,0.91
397,73.55,54.62,7.2
,57.367,-130.741,0.11
,56.955,-131.853,0.18
30,80.63,56.95,2.6
,29.715,92.956,0.05
,28.889,92.014,0.55
No 10,71.07,178.7,0.03
,34.992,78.192,1.4
,34.921,78.494,0.61
,28.88,88.297,0.08
,29.722,85.972,0.3
,28.533,91.188,0.28
QUIULACOCHA 4,-10.497,-76.007,0.23
397,38.45,72.78,0.2
,28.659,93.441,1.25
,56.994,-131.65,0.05
493,39.25,68.78,0.1
,32.667,96.977,1.44
,46.303,8.205,0.25
,35.617,94.531,0.28
853,37.08,71.9,0.1
,-32.601,-69.707,0.12
,27.983,88.046,3.25
,-13.254,-72.509,0.14
,28.01,89.616,1.458
521,39.83,71.92,0.6
,34.05,75.485,0.69
HEIM,-3.082,37.344,0.31
,67.929,-67.158,0.541
Boge,29.714,95.742,16.2
148,37.83,72.58,0.4
,-33.812,-69.91,2.83
,28.883,93.17,1.26
16,41.97,81.08,0.07
,31.887,95.428,0.83
,63.28,-50.56,1.5
,35.889,79.976,0.32
25,43.85,85.03,0.51
625,42.76,76.65,0.2
,30.517,80.758,0.43
36,41,77.87,0.69
,70.66,-54.23,1.71
,28.236,90.361,0.22
,56.97,-131.894,0.13
34,42.45,84.13,0.22
SONNBLICK,47.132,12.6,1.77
,57.37,-131.245,0.11
,46.506,10.641,0.08
862,37.86,71.87,0.2
35,48.82,87.75,0.2
,57.243,-128.188,0.24
No 492,38.649,71.244,0.1
43,42.88,82.67,0.3
,35.819,79.799,0.21
,57.262,-131.742,0.33
,66.979,-66.147,0.108
,34.964,74.625,1.477
177,49.78,86.35,4.1
,57.352,-130.064,0.1
,37.475,88.414,1.69
,69.81,-54.73,0.11
2,43.07,87.47,0.61
26,42.42,81.88,0.11
,28.054,90.938,0.35
,-65.5437,-63.7985, 
,33.554,94.788,0.32
,36.189,72.356,3.011
,57.486,-131.277,0.18
,36.2,78.199,0.12
5,42.58,81.85,0.59
,31.88,94.867,1.07
,-14.667,-69.167,3.85
,30.303,87.849,0.13
11,38.22,72.5,0.8
,33.182,76.514,5.772
,30.753,93.948,1.3
,45.663,7.371,0.06
,-13.563,-72.933,0.18
,32.757,81.025,0.1
7,49.08,87.37,2.74
,61.306,-140.066,0.08
,30.002,84.938,0.11
,29.602,96.929,0.1
,32.465,79.159,0.05
GROUPE,45.306,6.65,0.07
,37.157,-118.537,0.04
PUNTA DANTE,44.665,7.099,0.05
,80.033,-93.383,9.27
,68.283,-148.45,0.08
ROYAL,47.817,-123.217,0.1
,30.008,90.111,1.5
,36.552,77.622,0.1
,36.389,73.745,0.266
35,43.78,84.53,0.12
,30.423,93.622,0.3
MOIAZZA,46.339,12.056,0.03
,37.362,-118.813,0.08
,31.751,93.449,0.38
Koyo,36.76,73.233,6.828
,61.935,-140.659,0.3
,36.058,91.159,2.27
,30.467,93.491,0.9
,33.764,94.834,0.16
,27.817,92.328,3.23
/ULLSFD,69.353,19.494,0.18
,78.263,-76.567,10.79
Suspendido del Campana,-49.667,-73.167,0.5
,61.365,-138.007, 
,32.69,92.261,1.37
,-16.133,-68.217,1.76
,57.127,-128.087,0.05
,29.403,95.802,0.4
,57.521,-129.695,0.03
,66.23,-50.78,0.15
/BEIARE,66.874,14.583,0.06
149,42.68,45.07,0.1
,27.966,91.286,0.308
No 120,44.984,79.868,1.4
,-44.559,168.243,0.181
,-32.838,-69.605,0.71
,36.878,76.501,0.3
DALAGLETSCHER,46.417,7.702,0.24
1,39.23,95.28,0.05
,57.516,-129.861,0.02
,79.585,-91.575,2.8
,57.256,-128.38,0.08
,29.223,83.814,0.03
SCHEELEBREEN,77.7,16.95,58.4
,-32.652,-69.957,0.28
,61.411,-140.028,1.08
,69.96,-53.21,0.27
,35.312,73.595,0.096
VEL'KENA,76.25,64.18,35.5
3,42.5,85.2,0.19
AV JOSDB /JOSTED,61.753,7.2,8.7
,78.633,18.9,1.75
,32.818,92.945,0.7
,34.637,78.335,0.13
,63.45,-50.16,2.6
,33.218,90.988,0.34
173,49.82,86.3,0.5
,-9.955,-77.023,0.11
,31.925,77.469,0.663
Mera,27.802,86.908,4.86
1,45.08,80.55,0.5
/BEIARE,66.749,14.678,0.38
,28.63,84.614,0.57
1,42.73,86.93,0.23
No 34,44.75,80.094,0.4
Jatunpila,-15.479,-71.829,0.18
19,39.23,98.22,1.6
,30.567,83.631,0.3
,35.609,94.78,0.63
,57.535,-131.166,0.77
,61.154,-140.002,0.1
224,42.68,44.38,0.2
385,41.89,78.48,0.3
,30.183,90.356,0.3
,35.774,72.787,0.067
,29.65,82.941,0.29
,37.163,75.865,0.34
,28.783,93.642,0.15
29,39.17,70.08,0.3
123,39.58,70.12,0.1
,36.094,80.256,0.64
,36.358,78.493,1.37
,29.713,96.969,0.5
,34.456,85.983,0.33
,65.68,-51.61,40.33
,-44.555,168.24,0.084
,34.754,73.881,0.076
28,38.5,70.57,0.4
,46.447,10.04,0.02
,49.534,-126.044,0.02
,60.08,-44.56,0.16
,28.949,84.437,1.15
11,43.02,86.95,0.27
/SKJOMA,68.114,18.125,0.05
70,39,67.88,0.4
CHACAICO P,-36.491,-70.443,0.01
41,62,170.92,0.1
,35.141,74.237,0.238
3,38.77,98.08,0.21
,-16.28,-68.165,0.13
,29.87,89.909,0.15
,-11.894,-76.24,0.07
,61.193,-138.97,0.35
,35.788,93.532,0.31
SPA,-43.472,170.238,1.439
,-44.225,168.924,0.074
,30.616,79.679,0.12
,-43.918,169.759,0.063
,30.641,79.368,0.21
,-43.177,170.875,0.243
,35.575,80.221,0.35
,29.654,96.466,0.1
,36.036,79.714,0.88
,28.828,84.23,0.69
,27.725,86.868,1.91
,36.556,89.577,0.69
,60.969,-139.725,0.1
40,43.5,86.12,0.05
13,38.68,97.05,0.41
301,39.4,70.18,0.4
,29.666,93.246,0.15
,61.146,-138.654,0.06
,33.528,74.694,0.1
50,41.3,78.03,0.21
,69.86,-53.73,0.16
1,38.53,97.9,2.39
363,37.97,73.23,0.2
15,37.57,102.1,1.33
,34.744,76.802,0.71
143,42.93,77.72,0.2
,28.643,85.151,1.07
,31.467,78.65,0.44
Reqiang,28.359,85.838,7.43
10,38.45,71.47,0.5
Montiel Glaciar,-64.7742,-63.8252, 
LIFFILAFQUEN D,-39.756,-71.682,0.01
74,37.85,72.2,0.1
,38.979,71.094,0.05
,36.686,77.252,0.36
,-34.542,-70.478,0.91
,56.621,-131.36,0.02
,38.135,70.672,0.44
,56.936,-129.925,0.01
,39.09,74.746,0.35
,27.764,92.152,0.33
,57.494,-129.887,0.05
,60.06,-136.588, 
,37.476,75.541,2.44
,65.56,-52.58,0.61
582,38.34,72.62,0.7
,-33.619,-70.049,0.15
,35.592,82.269,0.23
,57.074,-129.426,0.02
,29.053,83.027,1.44
551,41.55,77.02,0.5
,-16.133,-68.217,0.85
,36.551,87.706,1.04
,36.756,90.727,0.16
156,75.23,57.9,0.9
,-8.382,-77.864,0.03
55,37.73,71.72,0.2
,37.267,85.887,0.14
,30.284,95.713,0.06
,60.68,-45.25,0.03
,31.021,93.918,0.29
,31.784,77.852,0.5
,28.06,90.947,0.4
,65.95,-52.58,0.11
/SALTDL,66.824,15.889,0.15
,60.353,-138.887, 
234A,42.67,44.5,0.2
2,40.98,77.28,0.47
GROUPE,45.402,7.058,0.09
,61.15,-45.03,1.6
,27.948,87.955,0.13
,32.484,79.176,0.08
8,39.37,98.17,0.14
,28.936,83.608,0.05
TAPADERAS D,-36.674,-70.961,0.02
,59.749,-136.977, 
,35.598,73.231,0.407
,-9.548,-77.334,0.6
,36.409,74.174,0.588
RITKHYNAKUNSKY,60.28,166.78,1.4
,32.516,92.954,0.61
,-13.691,-70.839,0.13
,28.702,83.745,0.03
24,43.62,85.02,0.29
,69.183,-143.833,2.18
,30.157,80.53,10.37
FUSCHERKAR,47.103,12.745,1.09
,31.892,78.759,2.05
,59.77,-136.871, 
,69.28,-53.66,0.04
,-15.45,-71.853,0.56
,33.965,89.233,21.94
,60.321,-137.448, 
,-1.398,-78.762,0.1
415,38.79,72.98,0.4
,72.935,-83.236,0.548
Seller Glacier,-69.2813,-66.5765, 
2,66.8,139.33,0.1
,36.699,89.58,0.03
CCAPHOUSE,44.867,6.405,0.19
,35.95,81.155,1.11
,34.16,79.101,0.778
,57.454,-129.968,0.02
,63.75,-50.5,0.3
WE.OCHSNER,47.048,11.808,0.23
837B,43.35,41.43,0.4
34,65.3,146.03,1.7
,36.711,78.386,13.46
62,42.15,71.03,0.6
,-32.359,-69.66,0.5
28,56.88,117.35,0.4
MUANDE BLACHONNE,44.87,6.153,0.02
111,43.07,77.1,0.3
,46.335,7.207,0.07
,-13.204,-72.041,0.3
,28.21,92.841,0.98
,34.988,76.376,1.65
,29.537,97.079,5.3
61,42.43,82.02,0.28
131,36.87,71.8,0.7
,57.115,-129.262,0.02
,57.706,-129.003,0.04
,61.45,-48.03,0.13
,-33.875,-70.097,0.07
/VALLDL,62.372,7.736,1.37
,57.232,-130.146,0.01
,31.867,83.582,1.14
,66.21,-53.11,0.4
,28.711,98.124,1.3
,27.883,92.65,2.2
,35.832,92.968,0.37
,30.672,94.431,0.5
,34.759,75.838,0.4
,57.27,-130.862,0.08
,36.757,84.562,0.8
,39.305,73.993,0.2
,29.916,85.396,0.24
,29.195,82.195,0.21
206,41.85,77.17,1.2
/SUNLVF,62.125,6.87,0.2
140,39.38,70.3,0.7
,35.627,74.794,7.331
,57.752,-130.66,2.49
6,43.78,88.6,0.05
303,38.74,72.44,0.1
,30.713,82.859,0.07
,39.213,74.573,2.62
3,44.2,83.48,0.26
704,60.5,167.23,0.9
44,42.52,85.15,0.32
Kalihen Gl,32.262,77.026,7.341
,35.717,88.056,0.15
,-33.286,-69.99,0.2
,34.043,79.06,0.778
,57.461,-129.797,0.03
,37.634,88.143,0.69
,57.009,-130.068,0.08
,33.97,90.651,8.52
189,55.07,160.73,0.6
,-62.596,-59.916,0.19
,-15.819,-68.46,0.09
9,38.18,96.42,0.48
,33.722,95.131,0.88
267,41.86,77.56,0.2
12,38.92,99.37,0.2
77,42.17,71.1,0.3
294,38.13,73.2,0.2
,47.833,-123.25,0.03
,36.218,82.327,2.23
,-60.742,-44.761,0.794
BOCKTSCHINGELF.,46.824,8.812,0.99
,-33.092,-69.584,0.25
TRAVIGNOLO,46.29,11.824,0.28
,57.433,-130.414,0.2
,34.289,79.787,0.1
550,41.55,77.04,0.2
,30.973,79.727,1.99
,60.821,-138.805,0.07
,56.995,-131.912,0.02
,56.614,-131.578,0.34
414,37.65,72.62,0.4
5,45.12,80.95,2.11
,-44.77,168.036,0.148
29,43.48,84.33,0.56
44,42.02,80.68,0.23
580,39.08,69.15,0.2
,27.808,86.52,0.12
,31.911,78.17,0.16
KALSER,46.96,12.717,0.13
,57.514,-129.87,0.01
46,62.55,140.85,0.5
119,41.86,76.56,0.4
,-47.65,-73.18,1
,33.19,79.328,0.13
No 271,38.783,72.012,0.3
9,44.78,80.32,0.63
,66.11,-53.11,0.56
619,73.12,54.3,1.1
1,38.23,100.6,0.45
,70.21,-53.68,1.51
/BREIMS,61.642,6.319,0.7
720,37.94,72.31,0.2
,34.082,79.763,2.12
FASUL M,47.013,10.185,0.78
,35.828,79.945,0.19
52,42.8,43.75,0.2
105,41.44,77.22,0.3
,61.225,-138.831,0.1
ALFRED NEWTON GL,78.577,-74.982,72.62
,-16.133,-68.217,0.19
3,43.78,88.48,0.16
,30.969,93.5,0.1
COCHCA,-9.202,-77.534,3.53
197,76.43,65.32,2.8
,35.779,80.294,0.06
584,42.78,76.97,0.1
,68.2,-148.767,0.39
,79.61,-92.958,0.41
445,37.98,73.55,0.6
,48.317,-120.95,0.13
379,37.27,73.85,0.6
,35.223,78.707,0.88
,46.767,10.982,0.09
99,42.63,44.77,0.2
,56.848,-130.936,1.46
529,38.93,70.55,0.8
,32.651,103.873,0.09
,34.411,85.592,0.7
,34.9,74.585,0.17
,31.911,78.82,0.2
490,37.37,74.12,1
,37.775,70.785,0.13
,-44.193,168.913,0.062
,-13.824,-70.907,0.49
,57.319,-129.188,0.07
,46.42,7.578,0.1
,36.272,75.752,0.5
,47.733,-123.317,0.03
,33.09,79.582,0.09
TROLLBRG /BEIARE,66.717,14.444,2.02
,59.679,-136.996, 
102,39.85,72.87,0.3
,-60.714,-45.006,3.341
234,39.53,70.53,0.5
187,39.33,72.33,0.4
,33.182,79.594,0.21
251,41.08,77.44,23
,36.074,79.419,1.69
,30.324,81.922,0.35
SONKLARBREEN,78.75,20.2,272
,35.097,78.326,0.25
,36.709,89.582,0.05
,79.907,-94.625,0.81
4,39.25,95.22,0.06
616,38.97,72.62,0.4
/HILDAL,59.931,6.767,0.1
131,39.22,71.88,0.3
151,39.63,70.43,0.3
,46.245,7.2,0.04
,29.835,96.318,2.2
,35.114,73.499,1.147
,56.456,-131.442,11.76
10,42.57,82.63,0.14
/O ABIS,68.217,18.675,0.3
No 418,38.602,71.423,0.1
,28.498,85.406,0.62
470,73.82,55.97,0.8
,36.257,77.676,0.09
,30.408,90.492,0.21
,29.695,95.862,0.05
837A,43.37,41.43,0.1
No 49,44.706,79.565,0.1
,57.333,-130.796,0.1
,30.44,93.281,0.05
16,43.68,85.1,0.04
MONT COLLON GL.,45.976,7.491,6.02
,35.601,75.763,9.886
,-44.841,167.707,0.061
13,42.15,79.26,0.4
,-60.71,-45.225,0.808
33,39.43,98.13,0.4
,35.575,79.926,0.18
,35.8,77.293,1.79
1,41.13,78,0.2
16,42.45,83.78,2.3
775,37.22,72.5,0.4
,40.283,74.917,0.26
,-40.506,-71.531,0.098
TUNSBERG /JOSTED,61.605,7.05,48
,33.232,92.072,1.16
,33.281,95.41,0.72
,61.092,-139.133,0.11
,37.606,74.944,0.17
67,61.88,171.32,0.1
571,38.29,72.73,1
,57.411,-131.001,0.29
,35.559,80.247,1.54
826,39.07,71.45,0.6
333,39.23,72.73,0.3
,30.923,79.93,0.33
BLAISEN /HALLNG,60.558,7.483,6.1
,31.739,80.629,0.16
,29.68,96.771,0.03
20,41.76,78.35,2.7
,36.729,76.89,0.11
,38.298,75.215,18.07
15,42.38,84.57,1.75
54,43.82,84.87,0.14
,33.388,79.252,0.466
,30.247,95.643,0.05
,29.403,97.235,0.4
,36.587,72.067,40.045
4,39.85,71.97,0.2
676,38.95,68.28,0.7
CAMERON,47.833,-123.317,0.1
8,38.55,97.88,1.29
139,42.26,72.47,0.2
,37.385,-118.855,0.1
,34.5,85.614,6.25
6,81.58,62.83,1.3
,38.286,71.051,0.94
74 BT,41.73,79.93,8.98
,33.753,89.619,0.43
,28.558,84.477,0.49
179,39.12,73.15,1.3
,30.794,94.702,0.5
,37.901,70.893,0.16
,33.889,79.814,1.058
,35.733,73.191,0.184
88,42.19,71.68,0.5
,32,98.923,0.43
60,42.63,82.65,0.12
539,37.65,71.95,0.1
,35.972,80.535,0.15
,29.257,96.915,0.53
76,43,76.95,0.1
23,41.03,77.83,4.2
,31.374,93.225,2.13
,27.846,87.717,0.62
MURITZ'N W,47.098,13.368,0.04
,-43.542,170.428,0.086
50,39.62,69.85,0.3
,80.323,-91.925,0.28
Sheqiang,27.981,88.102,3.98
/TORNEA,68.567,18.45,0.87
,28.883,93.318,1.88
,57.537,-129.713,0.05
,31.365,80.972,0.19
,35.633,94.444,0.8
,-43.31,170.973,0.049
,79.14,-89.283,171.1
,36.552,87.471,6.45
,30.273,90.51,0.7
,38.793,73.895,1.03
10,42.07,80.95,0.32
,65.6,-49.98,941.93
No 63,75.813,107.595,0.2
,28.083,89.488,0.07
2,38.58,98.32,0.31
,36.928,75.501,0.64
19,40.72,76.87,0.05
10,42.33,82.03,0.23
,31.098,82.388,0.31
,35.972,71.361,0.24
85,43.78,84.32,0.55
,70.4,-53.3,0.96
5,43.1,94.28,1.35
,60.458,-137.924, 
,35.799,78.576,0.12
26,43.22,85.55,0.35
,30.724,88.554,0.08
,57.533,-128.896,0.15
,32.756,92.698,2.92
,30.83,93.967,1
,76.982,-80.265,0.67
,36.985,91.436,0.11
,33.489,86.789,3.39
22,43.72,84.62,0.46
,27.677,88.23,0.36
,28.609,85.01,6.11
,-43.724,170.008,0.422
CIMA CAVAION E,46.421,10.731,0.2
,-42.27,172.492,0.036
,28.944,85.317,0.1
,35.877,80.422,1.19
HI.EISKASTEN,46.917,10.792,0.23
,57.141,-128.247,0.08
,28.77,84.875,0.44
,34.815,78.571,0.15
,36.25,82.173,1.16
454,38.49,73.38,0.8
,57.074,-130.849,0.42
,35.654,88.981,0.34
3,80.37,54.77,0.7
603,39.1,69.03,0.3
26,43.27,86.37,0.16
,46.947,12.16,0.24
,61.477,-140.884,0.22
,69.017,-143.833,0.52
,32.385,79.636,0.08
,-32.47,-69.59,0.06
,46.48,7.886,0.25
,37.09,74.652,7.07
GLAZOV,75.17,57.4,214.4
,-29.43,-70.08,0.02
,29.751,97.069,0.48
,60.41,-44.7,0.18
No 148,44.904,79.625,0.7
,-43.187,170.786,0.119
,-33.052,-69.908,0.16
33,42.72,83,0.86
,66.36,-52.95,0.74
,56.98,-130.683,2.21
,67.51,-49.91,1225.68
,36.885,75.245,0.356
105,38.97,68.92,0.1
,35.876,80.414,0.07
,29.904,85.482,0.23
,64.16,-51.08,1.39
,47.028,10.233,0.12
,28.418,91.2,0.42
,-9.936,-77.038,0.05
,36.825,85.14,0.42
,36.689,74.978,0.772
,80.325,-92.008,0.19
173,39.08,73.2,1.8
,-14.598,-69.232,0.7
,28.597,91.276,0.13
,31.734,93.356,0.31
/BREIMS,61.669,6.308,0.5
,28.943,85.09,0.09
,27.843,87.263,1.98
,-44.227,168.926,0.027
,36.511,74.18,2.101
591,72.98,54.38,6.5
210,40.99,75.7,0.4
,35.724,78.39,0.35
,57.186,-129.713,0.06
,28.255,89.797,1.85
LJOTEBTN /HALLNG,60.619,7.678,0.35
184,42.12,73.2,0.3
,60.617,-138.363, 
24,41.83,80.25,3.9
15,42.24,78.87,0.7
532,38.92,72.82,1.4
,46.817,8.911,0.9
,28.775,88.303,0.14
,66.38,-49.88,0.33
No 230,49.785,87.728,0.6
,-44.007,169.689,0.036
,61.04,-139.587,0.12
,31.958,95.381,0.21
,79.25,14.517,1.25
,29.271,82.844,0.31
321,73.65,56.52,0.5
,32.462,92.84,0.34
,-60.547,-45.736,21.475
,35.243,68.841,0.59
,60.075,-138.283, 
,35.345,78.71,0.16
180,41.31,77.66,0.1
,36.765,78.389,0.41
,48.55,-120.583,0.05
Sili Lal Gl,32.461,76.895,0.663
,57.53,-131.919,2.23
3,38.03,97.37,0.45
,60.48,-44.4,0.4
183,45.07,80.4,0.2
,57.54,-129.89,0.2
,31.811,95.328,0.56
5,39.12,98.45,0.18
275C,42.93,42.55,2.1
122,39.78,72.5,0.6
,66.638,-63.105,2.656
,31.65,99.646,0.17
,36.862,76.552,0.5
,80.563,-93.533,0.14
,47.733,-123.367,0.02
,-34.686,-70.376,0.01
,28.699,84.665,0.38
,57.642,-132.107,0.13
,35.563,95.016,0.29
,34.205,79.827,1.39
No 510,38.612,71.053,0.4
,28.773,93.273,0.2
,57.449,-131.918,1.15
,29.237,83.809,0.38
,-40.922,-71.79,0.102
,34.927,75.837,0.966
,69.067,-143.833,3.11
2,43.38,89.97,0.04
M.FOLLETTO SW,46.119,10.586,0.21
,-40.285,-71.251,0.01
MESAHCHIE,48.583,-120.867,0.52
459,39.77,71.32,0.4
,31.015,79.608,0.33
,29.189,83.664,0.65
,57.376,-131.315,0.97
,66.629,-63.216,2.038
10,80.77,55.38,10.4
15,41.03,77.68,0.51
Lavinnyj,71.12,-179.25,0.02
,30.685,86.503,2.78
YUNCAN 2,-11.163,-76.507,0.08
501,60.82,171.3,0.1
